Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
7254438300,000007DF,false,1,8,02,01,00,00,00,00,00,00
7254444400,000007EB,false,1,8,06,41,00,80,00,00,01,00
7254446200,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7254596500,000007DF,false,1,8,02,01,00,00,00,00,00,00
7254604200,000007EB,false,1,8,06,41,00,80,00,00,01,00
7254606000,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7255179800,000007DF,false,1,8,02,01,00,00,00,00,00,00
7255183500,000007EB,false,1,8,06,41,00,80,00,00,01,00
7255190300,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7255267200,000007DF,false,1,8,02,01,20,00,00,00,00,00
7255273400,000007EB,false,1,8,06,41,20,80,01,80,00,00
7255275600,000007EC,false,1,8,06,41,20,80,01,80,01,AA
7255343400,000007DF,false,1,8,02,01,40,00,00,00,00,00
7255357400,000007EC,false,1,8,06,41,40,00,00,00,20,AA
7256841500,000007DF,false,1,8,02,01,00,00,00,00,00,00
7256860200,000007EB,false,1,8,06,41,00,80,00,00,01,00
7256860700,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7257095000,000007DF,false,1,8,02,01,00,00,00,00,00,00
7257101100,000007EB,false,1,8,06,41,00,80,00,00,01,00
7257103000,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7257223500,000007DF,false,1,8,02,09,02,00,00,00,00,00
7257232800,000007EC,false,1,8,10,14,49,02,01,4F,53,45
7257233100,000007E4,false,1,8,30,00,00,00,00,00,00,00
7257242800,000007EC,false,1,8,21,56,5F,5F,20,42,4D,53
7257255000,000007EC,false,1,8,22,20,00,00,00,00,00,00
7257329700,000007DF,false,1,8,02,09,04,00,00,00,00,00
7257330800,000007EB,false,1,8,04,49,04,01,00,00,00,00
7257332400,000007ED,false,1,8,10,13,49,04,01,45,4F,53
7257332700,000007E5,false,1,8,30,00,00,00,00,00,00,00
7257337700,000007EC,false,1,8,10,13,49,04,01,4F,53,45
7257338000,000007E4,false,1,8,30,00,00,00,00,00,00,00
7257339800,000007EA,false,1,8,04,49,04,01,00,00,00,00
7257342300,000007ED,false,1,8,21,45,4B,35,4C,2D,4F,53
7257354900,000007EC,false,1,8,21,56,42,36,38,32,32,52
7257355300,000007ED,false,1,8,22,32,2D,44,30,30,30,00
7257365900,000007EC,false,1,8,22,00,00,00,00,00,00,AA
7257421900,000007DF,false,1,8,02,09,0A,00,00,00,00,00
7257430700,000007EB,false,1,8,04,49,0A,01,00,00,00,00
7257432200,000007ED,false,1,8,10,17,49,0A,01,42,43,43
7257432500,000007E5,false,1,8,30,00,00,00,00,00,00,00
7257432800,000007EC,false,1,8,10,17,49,0A,01,42,45,43
7257433000,000007E4,false,1,8,30,00,00,00,00,00,00,00
7257442100,000007ED,false,1,8,21,4D,2D,42,2B,43,68,61
7257442500,000007EC,false,1,8,21,4D,2D,42,2B,45,6E,65
7257454700,000007EC,false,1,8,22,72,67,79,43,74,72,6C
7257455200,000007ED,false,1,8,22,72,67,65,72,43,74,72
7257463000,000007EC,false,1,8,23,00,00,00,AA,AA,AA,AA
7257464500,000007ED,false,1,8,23,6C,00,00,00,00,00,00
7257509700,000007DF,false,1,8,02,09,08,00,00,00,00,00
7257975100,000007DF,false,1,8,02,09,0B,00,00,00,00,00
7258418200,000007DF,false,1,8,02,01,00,00,00,00,00,00
7258419500,000007EB,false,1,8,06,41,00,80,00,00,01,00
7258426300,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7258634300,000007DF,false,1,8,02,01,00,00,00,00,00,00
7258639200,000007EB,false,1,8,06,41,00,80,00,00,01,00
7258641100,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7258866500,000007DF,false,1,8,02,01,00,00,00,00,00,00
7258869000,000007EB,false,1,8,06,41,00,80,00,00,01,00
7258875800,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7259126200,000007DF,false,1,8,02,01,00,00,00,00,00,00
7259128700,000007EB,false,1,8,06,41,00,80,00,00,01,00
7259135500,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7259357200,000007DF,false,1,8,02,01,00,00,00,00,00,00
7259368400,000007EB,false,1,8,06,41,00,80,00,00,01,00
7259370500,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7259578100,000007DF,false,1,8,02,01,00,00,00,00,00,00
7259584900,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7259588100,000007EB,false,1,8,06,41,00,80,00,00,01,00
7259799000,000007DF,false,1,8,02,01,00,00,00,00,00,00
7259807800,000007EB,false,1,8,06,41,00,80,00,00,01,00
7259812400,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7260020100,000007DF,false,1,8,02,01,00,00,00,00,00,00
7260027500,000007EB,false,1,8,06,41,00,80,00,00,01,00
7260029400,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7260279800,000007DF,false,1,8,02,01,00,00,00,00,00,00
7260287200,000007EB,false,1,8,06,41,00,80,00,00,01,00
7260292200,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7260463300,000007DF,false,1,8,02,01,00,00,00,00,00,00
7260467000,000007EB,false,1,8,06,41,00,80,00,00,01,00
7260473800,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7260696800,000007DF,false,1,8,02,01,00,00,00,00,00,00
7260703600,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7260706700,000007EB,false,1,8,06,41,00,80,00,00,01,00
7260917600,000007DF,false,1,8,02,01,00,00,00,00,00,00
7260926400,000007EB,false,1,8,06,41,00,80,00,00,01,00
7260928300,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7261188700,000007DF,false,1,8,02,01,00,00,00,00,00,00
7261196100,000007EB,false,1,8,06,41,00,80,00,00,01,00
7261197900,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7261357200,000007DF,false,1,8,02,01,00,00,00,00,00,00
7261365800,000007EB,false,1,8,06,41,00,80,00,00,01,00
7261368100,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7261595700,000007DF,false,1,8,02,01,00,00,00,00,00,00
7261602400,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7261605600,000007EB,false,1,8,06,41,00,80,00,00,01,00
7261822900,000007DF,false,1,8,02,01,00,00,00,00,00,00
7261825300,000007EB,false,1,8,06,41,00,80,00,00,01,00
7261832200,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7262055100,000007DF,false,1,8,02,01,00,00,00,00,00,00
7262065000,000007EB,false,1,8,06,41,00,80,00,00,01,00
7262067200,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7262268600,000007DF,false,1,8,02,01,00,00,00,00,00,00
7262274700,000007EB,false,1,8,06,41,00,80,00,00,01,00
7262276600,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7262497000,000007DF,false,1,8,02,01,00,00,00,00,00,00
7262504400,000007EB,false,1,8,06,41,00,80,00,00,01,00
7262509000,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7262729500,000007DF,false,1,8,02,01,00,00,00,00,00,00
7262734200,000007EB,false,1,8,06,41,00,80,00,00,01,00
7262736100,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7262945200,000007DF,false,1,8,02,01,00,00,00,00,00,00
7262959000,000007EB,false,1,8,06,41,00,80,00,00,01,00
7262959500,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7263166400,000007DF,false,1,8,02,01,00,00,00,00,00,00
7263173600,000007EB,false,1,8,06,41,00,80,00,00,01,00
7263175500,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7263425900,000007DF,false,1,8,02,01,00,00,00,00,00,00
7263433300,000007EB,false,1,8,06,41,00,80,00,00,01,00
7263435200,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7263656900,000007DF,false,1,8,02,01,00,00,00,00,00,00
7263663000,000007EB,false,1,8,06,41,00,80,00,00,01,00
7263665200,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7263889000,000007DF,false,1,8,02,01,00,00,00,00,00,00
7263892700,000007EB,false,1,8,06,41,00,80,00,00,01,00
7263899600,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7264123900,000007DF,false,1,8,02,01,00,00,00,00,00,00
7264132500,000007EB,false,1,8,06,41,00,80,00,00,01,00
7264134400,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7264381000,000007DF,false,1,8,02,01,00,00,00,00,00,00
7264382100,000007EB,false,1,8,06,41,00,80,00,00,01,00
7264389000,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7264594700,000007DF,false,1,8,02,01,00,00,00,00,00,00
7264601900,000007EB,false,1,8,06,41,00,80,00,00,01,00
7264606200,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7264826700,000007DF,false,1,8,02,01,00,00,00,00,00,00
7264831600,000007EB,false,1,8,06,41,00,80,00,00,01,00
7264833500,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7277085500,000007DF,false,1,8,02,01,00,00,00,00,00,00
7277086400,000007EB,false,1,8,06,41,00,80,00,00,01,00
7277093500,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7277243800,000007DF,false,1,8,02,01,00,00,00,00,00,00
7277246200,000007EB,false,1,8,06,41,00,80,00,00,01,00
7277253300,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7277787300,000007DF,false,1,8,02,01,00,00,00,00,00,00
7277795600,000007EB,false,1,8,06,41,00,80,00,00,01,00
7277797700,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7277874700,000007DF,false,1,8,02,01,00,00,00,00,00,00
7277882600,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7277885400,000007EB,false,1,8,06,41,00,80,00,00,01,00
7277949500,000007DF,false,1,8,02,01,00,00,00,00,00,00
7277955400,000007EB,false,1,8,06,41,00,80,00,00,01,00
7277957500,000007EC,false,1,8,06,41,00,80,00,00,01,AA
7278204200,000007DF,false,1,8,01,03,00,00,00,00,00,00
7278205100,000007EB,false,1,8,02,43,00,00,00,00,00,00
7278206800,000007ED,false,1,8,02,43,00,00,00,00,00,00
7278212100,000007EC,false,1,8,02,43,00,AA,AA,AA,AA,AA
7278214100,000007EA,false,1,8,02,43,00,00,00,00,00,00
7278270300,000007DF,false,1,8,01,03,00,00,00,00,00,00
7278273700,000007EA,false,1,8,02,43,00,00,00,00,00,00
7278275100,000007EB,false,1,8,02,43,00,00,00,00,00,00
7278276800,000007ED,false,1,8,02,43,00,00,00,00,00,00
7278277100,000007EC,false,1,8,02,43,00,AA,AA,AA,AA,AA
7278334000,000007DF,false,1,8,01,07,00,00,00,00,00,00
7278343700,000007EA,false,1,8,02,47,00,00,00,00,00,00
7278345000,000007EB,false,1,8,02,47,00,00,00,00,00,00
7278347100,000007EC,false,1,8,02,47,00,AA,AA,AA,AA,AA
7278347400,000007ED,false,1,8,02,47,00,00,00,00,00,00
7278431400,000007DF,false,1,8,01,07,00,00,00,00,00,00
7278443500,000007EA,false,1,8,02,47,00,00,00,00,00,00
7278444900,000007EB,false,1,8,02,47,00,00,00,00,00,00
7278447000,000007EC,false,1,8,02,47,00,AA,AA,AA,AA,AA
7278447300,000007ED,false,1,8,02,47,00,00,00,00,00,00
7278510000,000007DF,false,1,8,01,0A,00,00,00,00,00,00
7278513400,000007EA,false,1,8,02,4A,00,00,00,00,00,00
7278514800,000007EB,false,1,8,02,4A,00,00,00,00,00,00
7278516500,000007ED,false,1,8,02,4A,00,00,00,00,00,00
7278578800,000007DF,false,1,8,03,19,02,08,00,00,00,00
7278583400,000007EA,false,1,8,03,7F,19,12,00,00,00,00
7278583700,000007BF,false,1,8,07,59,02,FF,58,12,87,28
7278584600,000007EB,false,1,8,03,7F,19,11,00,00,00,00
7278586600,000007DC,false,1,8,07,59,02,89,58,12,87,08
7278588700,0000079E,false,1,8,03,59,02,08,AA,AA,AA,AA
7278589000,000007EC,false,1,8,03,59,02,FF,AA,AA,AA,AA
7278589300,000007CC,false,1,8,10,13,59,02,89,58,12,87
7278589600,000007ED,false,1,8,03,7F,19,11,00,00,00,00
7278589900,00000788,false,1,8,03,59,02,09,AA,AA,AA,AA
7278590200,0000072D,false,1,8,07,59,02,09,96,03,00,08
7278591100,0000073B,false,1,8,03,59,02,09,AA,AA,AA,AA
7278593300,000007BB,false,1,8,07,59,02,09,92,38,13,09
7278596100,000007AD,false,1,8,03,7F,19,78,AA,AA,AA,AA
7278598500,000007CE,false,1,8,07,59,02,09,90,01,52,09
7278599900,000007A8,false,1,8,03,7F,19,78,AA,AA,AA,AA
7278601100,0000078B,false,1,8,03,7F,19,22,AA,AA,AA,AA
