Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
8598117300,000007DF,false,1,8,02,01,00,00,00,00,00,00
8598136600,000007EB,false,1,8,06,41,00,80,00,00,01,00
8598137000,000007EC,false,1,8,06,41,00,80,00,00,01,AA
8598349400,000007DF,false,1,8,02,01,00,00,00,00,00,00
8598357300,000007EB,false,1,8,06,41,00,80,00,00,01,00
8598361000,000007EC,false,1,8,06,41,00,80,00,00,01,AA
8598559200,000007DF,false,1,8,02,01,00,00,00,00,00,00
8598564800,000007EB,false,1,8,06,41,00,80,00,00,01,00
8598571100,000007EC,false,1,8,06,41,00,80,00,00,01,AA
8598730300,000007DF,false,1,8,02,01,00,00,00,00,00,00
8598735900,000007EB,false,1,8,06,41,00,80,00,00,01,00
8598740500,000007EC,false,1,8,06,41,00,80,00,00,01,AA
8598957500,000007DF,false,1,8,02,01,00,00,00,00,00,00
8598964300,000007EB,false,1,8,06,41,00,80,00,00,01,00
8598965200,000007EC,false,1,8,06,41,00,80,00,00,01,AA
8599214700,000007DF,false,1,8,02,01,00,00,00,00,00,00
8599223900,000007EB,false,1,8,06,41,00,80,00,00,01,00
8599230400,000007EC,false,1,8,06,41,00,80,00,00,01,AA
8599295900,000007DF,false,1,8,02,01,00,00,00,00,00,00
8599311300,000007EB,false,1,8,06,41,00,80,00,00,01,00
8599311600,000007EC,false,1,8,06,41,00,80,00,00,01,AA
8599517000,000007DF,false,1,8,02,01,00,00,00,00,00,00
8599534900,000007EB,false,1,8,06,41,00,80,00,00,01,00
8599535300,000007EC,false,1,8,06,41,00,80,00,00,01,AA
8626083300,000007DF,false,1,8,02,01,00,00,00,00,00,00
8626100800,000007EB,false,1,8,06,41,00,80,00,00,01,00
8626102300,000007EC,false,1,8,06,41,00,80,00,00,01,AA
8626252600,000007DF,false,1,8,02,01,00,00,00,00,00,00
8626260600,000007EB,false,1,8,06,41,00,80,00,00,01,00
8626262100,000007EC,false,1,8,06,41,00,80,00,00,01,AA
8626720000,000007DF,false,1,8,02,01,00,00,00,00,00,00
8626730000,000007EB,false,1,8,06,41,00,80,00,00,01,00
8626730900,000007EC,false,1,8,06,41,00,80,00,00,01,AA
8626823400,000007DF,false,1,8,01,03,00,00,00,00,00,00
8626824500,000007ED,false,1,8,02,43,00,00,00,00,00,00
8626829900,000007EB,false,1,8,02,43,00,00,00,00,00,00
8626830800,000007EC,false,1,8,02,43,00,AA,AA,AA,AA,AA
8626834000,000007EA,false,1,8,02,43,00,00,00,00,00,00
8626895800,000007DF,false,1,8,01,03,00,00,00,00,00,00
8626899800,000007EB,false,1,8,02,43,00,00,00,00,00,00
8626903900,000007EA,false,1,8,02,43,00,00,00,00,00,00
8626904400,000007ED,false,1,8,02,43,00,00,00,00,00,00
8626906000,000007EC,false,1,8,02,43,00,AA,AA,AA,AA,AA
8627020700,000007DF,false,1,8,01,07,00,00,00,00,00,00
8627023700,000007EA,false,1,8,02,47,00,00,00,00,00,00
8627024200,000007ED,false,1,8,02,47,00,00,00,00,00,00
8627029700,000007EB,false,1,8,02,47,00,00,00,00,00,00
8627030600,000007EC,false,1,8,02,47,00,AA,AA,AA,AA,AA
8627072600,000007DF,false,1,8,01,07,00,00,00,00,00,00
8627079700,000007EB,false,1,8,02,47,00,00,00,00,00,00
8627083900,000007EA,false,1,8,02,47,00,00,00,00,00,00
8627084400,000007ED,false,1,8,02,47,00,00,00,00,00,00
8627086100,000007EC,false,1,8,02,47,00,AA,AA,AA,AA,AA
8638916200,000007DF,false,1,8,02,01,00,00,00,00,00,00
8638925000,000007EB,false,1,8,06,41,00,80,00,00,01,00
8638926600,000007EC,false,1,8,06,41,00,80,00,00,01,AA
8639077000,000007DF,false,1,8,02,01,00,00,00,00,00,00
8639086100,000007EB,false,1,8,06,41,00,80,00,00,01,00
8639092000,000007EC,false,1,8,06,41,00,80,00,00,01,AA
8639634300,000007DF,false,1,8,02,01,00,00,00,00,00,00
8639645500,000007EB,false,1,8,06,41,00,80,00,00,01,00
8639645800,000007EC,false,1,8,06,41,00,80,00,00,01,AA
8639795100,000007DF,false,1,8,01,0A,00,00,00,00,00,00
8639798100,000007EA,false,1,8,02,4A,00,00,00,00,00,00
8639798600,000007ED,false,1,8,02,4A,00,00,00,00,00,00
8639806100,000007EB,false,1,8,02,4A,00,00,00,00,00,00
8639863800,000007DF,false,1,8,01,0A,00,00,00,00,00,00
8639880600,000007EA,false,1,8,02,4A,00,00,00,00,00,00
8639880800,000007ED,false,1,8,02,4A,00,00,00,00,00,00
8639883900,000007EB,false,1,8,02,4A,00,00,00,00,00,00
8639941300,000007DF,false,1,8,03,19,02,08,00,00,00,00
8639945100,000007EB,false,1,8,03,7F,19,11,00,00,00,00
8639945300,0000079E,false,1,8,03,59,02,08,AA,AA,AA,AA
8639947600,000007BF,false,1,8,07,59,02,FF,58,12,87,28
8639947900,000007DC,false,1,8,07,59,02,89,58,12,87,08
8639948100,000007EA,false,1,8,03,7F,19,12,00,00,00,00
8639948600,000007ED,false,1,8,03,7F,19,11,00,00,00,00
8639950200,000007EC,false,1,8,03,59,02,FF,AA,AA,AA,AA
8639950500,00000788,false,1,8,03,59,02,09,AA,AA,AA,AA
8639951400,000007CC,false,1,8,10,13,59,02,89,58,12,87
8639955500,0000072D,false,1,8,07,59,02,09,96,03,00,08
8639959500,000007AD,false,1,8,03,7F,19,78,AA,AA,AA,AA
8639959700,0000078B,false,1,8,03,7F,19,22,AA,AA,AA,AA
8639961000,000007CE,false,1,8,07,59,02,09,90,01,52,09
8639961500,0000073B,false,1,8,03,59,02,09,AA,AA,AA,AA
8639961800,000007BB,false,1,8,07,59,02,09,92,38,13,09
8639962700,00000778,false,1,8,10,17,59,02,09,96,03,00
8639965800,000007A8,false,1,8,03,7F,19,78,AA,AA,AA,AA
8639997400,000007DF,false,1,8,03,19,02,AC,00,00,00,00
8640005000,0000079E,false,1,8,03,59,02,08,AA,AA,AA,AA
8640005900,000007EB,false,1,8,03,7F,19,11,00,00,00,00
8640006100,000007EC,false,1,8,03,59,02,FF,AA,AA,AA,AA
8640007500,000007BF,false,1,8,07,59,02,FF,58,12,87,28
8640007900,000007DC,false,1,8,03,7F,19,31,AA,AA,AA,AA
8640008100,000007BB,false,1,8,07,59,02,09,92,38,13,09
8640008400,000007EA,false,1,8,03,7F,19,12,00,00,00,00
8640008600,000007ED,false,1,8,03,7F,19,11,00,00,00,00
8640011200,000007CE,false,1,8,07,59,02,09,90,01,52,09
8640018300,0000073B,false,1,8,03,59,02,09,AA,AA,AA,AA
8640058600,000007DF,false,1,8,03,19,02,AF,00,00,00,00
8640063500,000007EB,false,1,8,03,7F,19,11,00,00,00,00
8640064900,0000079E,false,1,8,03,59,02,08,AA,AA,AA,AA
8640067700,000007BF,false,1,8,07,59,02,FF,58,12,87,28
8640068000,000007EA,false,1,8,03,7F,19,12,00,00,00,00
8640068300,000007DC,false,1,8,03,7F,19,31,AA,AA,AA,AA
8640068500,000007ED,false,1,8,03,7F,19,11,00,00,00,00
8640070200,000007EC,false,1,8,03,59,02,FF,AA,AA,AA,AA
8640071900,000007CE,false,1,8,07,59,02,09,90,01,52,09
8640080500,0000073B,false,1,8,03,59,02,09,AA,AA,AA,AA
8640080700,000007BB,false,1,8,07,59,02,09,92,38,13,09
8640126100,000007DF,false,1,8,04,18,00,FF,00,00,00,00
8640128300,000007ED,false,1,8,02,58,00,00,00,00,00,00
8640133300,000007DC,false,1,8,03,7F,18,21,AA,AA,AA,AA
8640133700,000007EB,false,1,8,02,58,00,00,00,00,00,00
8640137500,000007BB,false,1,8,03,7F,18,11,00,00,00,00
8640137800,000007EA,false,1,8,02,58,00,00,00,00,00,00
8640209700,000007DF,false,1,8,04,18,00,FF,00,00,00,00
8640213400,000007EB,false,1,8,02,58,00,00,00,00,00,00
8640217500,000007DC,false,1,8,03,7F,18,21,AA,AA,AA,AA
8640217800,000007EA,false,1,8,02,58,00,00,00,00,00,00
8640218100,000007ED,false,1,8,02,58,00,00,00,00,00,00
8640227400,000007BB,false,1,8,03,7F,18,11,00,00,00,00
8640264700,000007DF,false,1,8,04,18,02,FF,00,00,00,00
8640277400,000007DC,false,1,8,03,7F,18,21,AA,AA,AA,AA
8640280500,000007EA,false,1,8,03,7F,18,12,00,00,00,00
8640280800,000007ED,false,1,8,03,7F,18,12,00,00,00,00
8640284700,000007EB,false,1,8,03,7F,18,12,00,00,00,00
8640287300,000007BB,false,1,8,03,7F,18,11,00,00,00,00
8640470600,000007DF,false,1,8,02,01,00,00,00,00,00,00
8640484400,000007EB,false,1,8,06,41,00,80,00,00,01,00
8640484700,000007EC,false,1,8,06,41,00,80,00,00,01,AA
8640628600,000007AD,false,1,8,07,59,02,08,96,03,00,08
8640741500,000007E2,false,1,8,02,10,03,00,00,00,00,00
8640746900,000007EA,false,1,8,03,7F,10,12,00,00,00,00
8640764000,000007E2,false,1,8,02,10,90,00,00,00,00,00
8640779300,000007EA,false,1,8,02,50,90,00,00,00,00,00
8640800100,000007E2,false,1,8,01,20,00,00,00,00,00,00
8640806900,000007EA,false,1,8,01,60,00,00,00,00,00,00
8640861300,000007E2,false,1,8,02,10,03,00,00,00,00,00
8640867000,000007EA,false,1,8,03,7F,10,12,00,00,00,00
8640912600,000007E2,false,1,8,03,19,02,08,00,00,00,00
8640916700,000007EA,false,1,8,03,7F,19,12,00,00,00,00
8640973700,000007E2,false,1,8,03,19,02,AC,00,00,00,00
8640979100,000007EA,false,1,8,03,7F,19,12,00,00,00,00
8641062400,000007E2,false,1,8,03,19,02,AF,00,00,00,00
8641079000,000007EA,false,1,8,03,7F,19,12,00,00,00,00
8641153600,000007E2,false,1,8,04,18,00,FF,00,00,00,00
8641166800,000007EA,false,1,8,02,58,00,00,00,00,00,00
