Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
303004300,00000450,false,0,3,00,C2,05
303004600,00000462,false,0,8,FE,3F,FF,0F,F0,1F,00,00
303004800,00000471,false,0,6,15,54,11,00,00,54
302991800,00000103,false,1,8,00,00,00,00,00,00,00,00
302993400,00000416,false,1,8,1E,02,00,00,00,00,FF,FF
303011800,00000104,false,1,8,48,4E,C0,02,00,00,00,40
303014400,000005D0,false,0,8,8D,34,02,00,00,00,00,00
303014600,000005D3,false,0,8,0F,00,00,00,00,00,00,00
303024100,00000450,false,0,3,00,C2,05
303024400,00000462,false,0,8,FE,3F,FF,0F,F0,1F,00,00
303024600,00000471,false,0,6,15,54,11,00,00,58
303031900,00000593,false,0,6,01,00,FF,FF,FF,FF
303021800,00000107,false,1,8,00,00,00,00,2A,C1,C0,00
303031800,00000105,false,1,8,00,00,00,00,08,00,00,00
303043500,00000168,false,1,8,88,00,C4,04,C1,B0,40,00
303043800,0000018B,false,1,8,16,FF,F8,00,00,00,00,00
303044000,0000018C,false,1,8,03,00,00,00,00,00,00,00
303044300,0000018D,false,1,8,FF,FF,FF,FF,C0,00,00,18
303044600,0000018E,false,1,8,FF,FF,FF,FF,01,00,00,00
303044800,0000018F,false,1,8,00,00,00,00,00,00,00,00
303045100,000001F7,false,1,8,00,00,00,40,00,00,00,00
303044600,00000450,false,0,3,00,C2,05
303044900,00000462,false,0,8,FE,3F,FF,0F,F0,1F,00,00
303045100,00000471,false,0,6,15,54,11,00,00,9C
303045300,00000479,false,0,8,FF,00,00,00,00,00,00,00
303045600,00000520,false,0,8,00,00,00,00,00,00,00,00
303045400,000001FA,false,1,8,FF,C0,00,00,00,00,00,00
303045600,00000588,false,1,8,00,00,00,00,00,00,00,00
303045900,00000589,false,1,8,00,00,00,7F,FF,00,00,00
303051800,00000107,false,1,8,00,00,00,00,2A,81,C0,00
303052300,00000110,false,1,8,00,00,00,00,00,00,00,00
303064200,00000450,false,0,3,00,C2,05
303064500,00000462,false,0,8,FE,3F,FF,0F,F0,1F,00,00
303064700,00000471,false,0,6,15,54,11,00,00,60
303064900,00000541,false,0,8,00,01,22,00,C8,08,00,00
303065200,0000055C,false,0,8,66,01,14,FF,01,00,00,00
303065500,0000055F,false,0,8,00,10,00,02,30,00,04,00
303074400,00000561,false,0,8,05,60,00,07,80,00,0F,00
303074700,00000567,false,0,8,40,09,08,2C,00,00,00,00
303074900,00000578,false,0,6,00,00,00,00,0F,00
303075200,00000588,false,0,8,FC,FF,03,00,00,00,00,00
303075400,000005EC,false,0,8,00,00,00,04,00,00,00,00
303063400,00000169,false,1,8,00,00,00,00,00,00,40,00
303072300,00000111,false,1,8,00,00,00,00,00,00,00,00
303084300,00000450,false,0,3,00,C2,05
303084500,00000462,false,0,8,FE,3F,FF,0F,F0,1F,00,00
303084800,00000471,false,0,6,15,54,11,00,00,64
303083500,0000016A,false,1,8,00,00,00,00,00,00,00,00
303089200,0000041E,false,1,8,00,12,00,00,00,00,FF,FF
303091800,00000107,false,1,8,00,00,00,00,2A,C1,C0,00
303092300,00000112,false,1,8,00,20,06,00,00,00,00,00
303103400,00000188,false,1,8,40,50,01,04,00,00,00,00
303104100,00000450,false,0,3,00,C2,05
303104400,00000462,false,0,8,FE,3F,FF,0F,F0,1F,00,00
303104600,00000471,false,0,6,15,54,11,00,00,68
303124200,00000450,false,0,3,00,C2,05
303124500,00000462,false,0,8,FE,3F,FF,0F,F0,1F,00,00
303124700,00000471,false,0,6,15,54,11,00,00,AC
303112200,00000113,false,1,8,82,00,00,00,00,00,00,00
303119200,0000019B,false,1,8,00,80,00,00,00,00,00,00
303121700,00000107,false,1,8,00,00,00,00,2A,41,C0,00
303123400,00000189,false,1,8,00,00,00,00,00,00,00,00
303131700,00000100,false,1,8,04,06,00,00,00,00,80,00
303131900,00000106,false,1,8,00,00,00,00,00,00,00,00
303132200,00000109,false,1,8,00,00,00,00,00,00,00,00
303132500,00000510,false,1,8,00,00,FF,00,00,00,00,00
303144200,00000412,false,0,8,00,00,00,00,00,00,00,00
303144400,00000450,false,0,3,00,C2,05
303144700,0000045D,false,0,8,00,00,00,00,00,00,00,00
303144900,00000462,false,0,8,FE,3F,FF,0F,F0,1F,00,00
303145100,00000471,false,0,6,15,54,11,00,00,B0
303145400,00000479,false,0,8,FF,00,00,00,00,00,00,00
303145700,0000049A,false,0,8,00,00,00,00,00,00,FC,03
303145900,000004A9,false,0,8,00,00,00,10,00,00,00,00
303146200,000004FE,false,0,8,FF,FF,7F,FF,FF,00,FF,FF
303146500,00000520,false,0,8,00,00,00,00,00,00,00,00
303146700,00000559,false,0,8,00,40,00,00,00,00,00,00
303147000,000005B4,false,0,8,00,00,00,00,0C,30,00,00
303139200,0000059D,false,1,8,64,60,60,00,00,00,00,00
303143300,0000018A,false,1,8,00,00,00,00,00,00,00,00
303151600,00000101,false,1,8,00,00,00,00,00,00,00,10
303161700,00000107,false,1,8,00,00,00,00,2A,81,C0,00
303164200,00000450,false,0,3,00,C2,05
303164400,00000462,false,0,8,FE,3F,FF,0F,F0,1F,00,00
303164700,00000471,false,0,6,15,54,11,00,00,B4
303165000,0000050E,false,0,8,00,00,00,00,00,00,00,00
303165200,00000541,false,0,8,00,01,22,00,C8,08,00,00
303165500,0000055C,false,0,8,66,01,14,FF,01,00,00,00
303165800,0000055F,false,0,8,00,10,00,02,30,00,04,00
303174100,0000045E,false,0,8,00,00,00,00,00,00,00,00
303174400,00000561,false,0,8,05,60,00,07,80,00,0F,00
303174700,00000567,false,0,8,40,09,08,2C,00,00,00,00
303174900,00000578,false,0,6,00,00,00,00,0F,00
303175200,00000588,false,0,8,FC,FF,03,00,00,00,00,00
303175500,000005EC,false,0,8,00,00,00,04,00,00,00,00
303184000,00000450,false,0,3,00,C2,05
303184300,00000462,false,0,8,FE,3F,FF,0F,F0,1F,00,00
303184500,00000471,false,0,6,15,54,11,00,00,B8
303184800,00000553,false,0,8,04,00,80,00,00,00,80,00
303171600,00000102,false,1,8,00,00,A0,00,00,00,00,00
303181400,00000400,false,1,8,01,02,00,00,00,00,FF,FF
303191600,00000103,false,1,8,00,00,00,00,00,00,00,00
303191900,00000107,false,1,8,00,00,00,00,2A,41,C0,00
303194300,000005B3,false,0,8,43,D0,FF,00,00,00,00,00
303194600,000005DF,false,0,8,45,1A,02,00,00,00,00,00
303204100,00000450,false,0,3,00,C2,05
303204300,00000462,false,0,8,FE,3F,FF,0F,F0,1F,00,00
303204600,00000471,false,0,6,15,54,11,00,00,FC
303211600,00000104,false,1,8,48,4E,C0,02,00,00,00,40
303223900,00000450,false,0,3,00,C2,05
303224100,00000462,false,0,8,FE,3F,FF,0F,F0,1F,00,00
303224300,00000471,false,0,6,15,54,11,00,00,40
303231600,00000593,false,0,6,01,00,FF,FF,FF,FF
303244300,00000450,false,0,3,00,C2,05
303244600,00000462,false,0,8,FE,3F,FF,0F,F0,1F,00,00
303244800,00000471,false,0,6,15,54,11,00,00,44
303245100,00000479,false,0,8,FF,00,00,00,00,00,00,00
303245300,00000520,false,0,8,00,00,00,00,00,00,00,00
303231600,00000105,false,1,8,00,00,00,00,08,00,00,00
303231900,00000107,false,1,8,00,00,00,00,2A,81,C0,00
303243200,00000168,false,1,8,88,00,C4,04,C1,B0,40,00
303243500,0000018B,false,1,8,16,FF,F8,00,00,00,00,00
303243800,0000018C,false,1,8,03,00,00,00,00,00,00,00
303244000,0000018D,false,1,8,FF,FF,FF,FF,C0,00,00,18
303244300,0000018E,false,1,8,FF,FF,FF,FF,01,00,00,00
303244600,0000018F,false,1,8,00,00,00,00,00,00,00,00
