Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1953613500,00000109,false,0,8,00,01,00,FF,FF,FF,0F,3D
1953613800,00000200,false,0,8,00,80,66,00,00,C0,D0,00
1953614000,00000201,false,0,8,D1,00,00,00,00,00,00,D1
1953614200,00000202,false,0,8,60,00,00,00,00,80,32,D2
1953614500,00000333,false,0,8,00,00,00,00,00,00,00,00
1953615700,00000291,false,0,8,00,00,00,00,FF,00,00,0A
1953616000,00000523,false,0,8,08,38,4C,4C,4B,4A,00,00
1953616200,00000524,false,0,8,86,00,00,00,00,00,00,00
1953616900,00000450,false,0,3,00,C2,05
1953617200,00000462,false,0,8,FE,3F,FF,2F,F0,1F,00,00
1953617500,00000471,false,0,6,15,54,10,00,00,40
1953617700,00000354,false,0,8,AA,0A,55,05,00,01,00,7B
1953618000,000002A1,false,0,8,00,00,00,00,00,00,00,00
1953618200,00000540,false,0,8,D9,33,00,00,7A,00,00,00
1953620000,0000010C,false,0,8,04,00,55,54,15,40,01,24
1953620400,000002A2,false,0,8,04,00,00,F4,05,00,00,3E
1953620600,00000153,false,0,8,A0,A9,20,FF,00,FF,10,77
1953620800,00000331,false,0,8,3E,00,00,00,00,00,00,00
1953623500,00000109,false,0,8,00,01,00,FF,FF,FF,0F,0A
1953623700,00000200,false,0,8,00,80,66,00,00,00,D0,00
1953624000,00000201,false,0,8,11,00,00,00,00,00,00,11
1953624200,00000202,false,0,8,00,00,00,00,00,80,32,B2
1953624500,00000333,false,0,8,00,00,00,00,00,00,00,00
1953625700,00000291,false,0,8,00,00,00,00,FF,00,00,0A
1953626000,00000523,false,0,8,08,38,4C,4C,4B,4A,00,00
1953626200,00000524,false,0,8,86,00,00,00,00,00,00,00
1953627700,00000354,false,0,8,AA,0A,55,05,00,01,00,6C
1953630100,0000010C,false,0,8,04,00,55,54,15,40,01,35
1953630400,000002A2,false,0,8,05,00,00,F4,05,00,00,3E
1953630600,00000153,false,0,8,A0,A9,20,FF,00,FF,20,87
1953630800,00000331,false,0,8,3E,00,00,00,00,00,00,00
1953631100,00000386,false,0,8,00,80,00,80,00,40,00,80
1953631300,00000387,false,0,8,15,15,16,15,00,56,01,00
1953633500,00000109,false,0,8,00,01,00,FF,FF,FF,0F,1B
1953633700,00000200,false,0,8,00,80,66,00,00,40,D0,00
1953634000,00000201,false,0,8,51,00,00,00,00,00,00,51
1953634200,00000202,false,0,8,20,00,00,00,00,80,32,92
1953634500,00000333,false,0,8,00,00,00,00,00,00,00,00
1953635700,00000291,false,0,8,00,00,00,00,FF,00,00,0A
1953616500,00000371,false,1,8,3E,10,00,00,00,00,00,10
1953616800,00000372,false,1,8,00,00,00,00,00,00,00,00
1953617000,00000470,false,1,8,15,44,40,55,55,40,14,00
1953620400,00000160,false,1,8,20,3C,01,12,00,00,00,0F
1953620600,00000153,false,1,8,A0,A9,20,FF,00,FF,10,77
1953626600,00000371,false,1,8,3E,10,00,00,00,00,00,10
1953626900,00000372,false,1,8,00,00,00,00,00,00,00,00
1953627100,00000436,false,1,4,00,00,00,08
1953630400,00000160,false,1,8,20,3C,01,12,00,00,00,0F
1953630600,00000153,false,1,8,A0,A9,20,FF,00,FF,20,87
1953630800,00000386,false,1,8,00,80,00,80,00,40,00,80
1953631100,00000387,false,1,8,15,15,16,15,00,56,01,00
1953636600,00000371,false,1,8,3E,10,00,00,00,00,00,10
1953636800,00000372,false,1,8,00,00,00,00,00,00,00,00
1953637100,00000470,false,1,8,15,00,00,55,55,44,00,00
1953636000,00000523,false,0,8,08,38,4C,4C,4B,4A,00,00
1953636200,00000524,false,0,8,86,00,00,00,00,00,00,00
1953636900,00000450,false,0,3,00,C2,05
1953637200,00000462,false,0,8,FE,3F,FF,2F,F0,1F,00,00
1953637400,00000471,false,0,6,15,50,10,00,00,44
1953637700,00000354,false,0,8,AA,0A,55,05,00,01,00,5D
1953640000,0000010C,false,0,8,04,00,55,54,15,40,01,02
1953640400,00000160,false,1,8,20,3D,01,12,00,00,00,0E
1953640600,00000153,false,1,8,A0,A9,20,FF,00,FF,30,97
1953640400,000002A2,false,0,8,04,00,00,F4,05,00,00,3E
1953640600,00000153,false,0,8,A0,A9,20,FF,00,FF,30,97
1953640800,00000331,false,0,8,3E,00,00,00,00,00,00,00
1953643500,00000109,false,0,8,00,01,00,FF,FF,FF,0F,2C
1953643700,00000200,false,0,8,00,80,66,00,00,80,D0,00
1953644000,00000201,false,0,8,91,00,00,00,00,00,00,91
1953644200,00000202,false,0,8,40,00,00,00,00,80,32,F2
1953644500,00000333,false,0,8,00,00,00,00,00,00,00,00
1953645700,00000291,false,0,8,00,00,00,00,FF,00,00,0A
1953645900,00000523,false,0,8,08,38,4C,4C,4B,4A,00,00
1953646200,00000524,false,0,8,86,00,00,00,00,00,00,00
1953647600,00000354,false,0,8,AA,0A,55,05,00,01,00,4E
1953650100,0000010C,false,0,8,04,00,55,54,15,40,01,13
