Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
194411100,00000109,false,1,8,00,01,00,FF,FF,FF,0F,0A
194411300,00000200,false,1,8,00,00,00,04,00,10,D0,00
194411600,00000201,false,1,8,01,00,00,00,00,00,00,01
194411800,00000202,false,1,8,00,00,10,00,00,00,00,10
194412100,00000333,false,1,8,00,00,00,00,00,00,00,00
194412700,00000590,false,1,8,11,00,00,00,00,00,00,3C
194412900,0000045B,false,1,8,00,30,00,00,00,00,01,00
194413100,00000529,false,1,8,00,00,00,00,00,00,00,00
194413400,00000549,false,1,8,EF,72,00,00,00,00,00,00
194413600,00000579,false,1,8,7C,7C,00,00,04,08,10,FE
194413900,0000057A,false,1,8,1F,00,00,3E,00,00,00,00
194414100,0000057B,false,1,8,01,01,00,00,00,46,64,A0
194414400,0000058F,false,1,8,00,01,00,00,00,00,00,00
194414600,00000592,false,1,8,00,00,00,00,00,00,00,45
194414900,000005D9,false,1,8,00,00,00,00,00,00,00,00
194421100,00000109,false,1,8,00,01,00,FF,FF,FF,0F,1B
194421400,00000200,false,1,8,00,00,00,04,00,50,D0,00
194421600,00000201,false,1,8,41,00,00,00,00,00,00,41
194421800,00000202,false,1,8,20,00,10,00,00,00,00,30
194422100,00000333,false,1,8,00,00,00,00,00,00,00,00
194431100,00000109,false,1,8,00,01,00,FF,FF,FF,0F,2C
194431300,00000200,false,1,8,00,00,00,04,00,90,D0,00
194431600,00000201,false,1,8,81,00,00,00,00,00,00,81
194431800,00000202,false,1,8,40,00,10,00,00,00,00,50
194432100,00000333,false,1,8,00,00,00,00,00,00,00,00
194441100,00000109,false,1,8,00,01,00,FF,FF,FF,0F,3D
194441300,00000200,false,1,8,00,00,00,04,00,D0,D0,00
194441600,00000201,false,1,8,C1,00,00,00,00,00,00,C1
194441800,00000202,false,1,8,60,00,10,00,00,00,00,70
194442100,00000333,false,1,8,00,00,00,00,00,00,00,00
194451000,00000109,false,1,8,00,01,00,FF,FF,FF,0F,0A
194451300,00000200,false,1,8,00,00,00,04,00,10,D0,00
194451500,00000201,false,1,8,01,00,00,00,00,00,00,01
194451800,00000202,false,1,8,00,00,10,00,00,00,00,10
194452000,00000333,false,1,8,00,00,00,00,00,00,00,00
194454400,00000291,false,1,8,00,00,00,00,00,00,00,00
194454600,00000523,false,1,8,02,38,28,28,28,28,00,01
194454900,00000524,false,1,8,00,00,00,00,00,00,00,00
194461000,00000109,false,1,8,00,01,00,FF,FF,FF,0F,1B
194461300,00000200,false,1,8,00,00,00,04,00,50,D0,00
194461500,00000201,false,1,8,41,00,00,00,00,00,00,41
194461800,00000202,false,1,8,20,00,10,00,00,00,00,30
194462000,00000333,false,1,8,00,00,00,00,00,00,00,00
194464400,00000291,false,1,8,00,00,FF,7F,19,00,00,0A
194464600,00000523,false,1,8,02,38,FF,FF,FF,FF,00,01
194464800,00000524,false,1,8,FF,FF,FF,00,00,00,C0,7F
194471000,00000109,false,1,8,00,01,00,FF,FF,FF,0F,2C
194471300,00000200,false,1,8,00,00,00,04,00,90,D0,00
194471500,00000201,false,1,8,81,00,00,00,00,00,00,81
194471800,00000202,false,1,8,40,00,10,00,00,00,00,50
194472000,00000333,false,1,8,00,00,00,00,00,00,00,00
194474300,00000291,false,1,8,00,00,FF,7F,30,00,00,0A
194474600,00000523,false,1,8,02,38,FF,FF,FF,FF,00,01
194474800,00000524,false,1,8,FF,FF,FF,00,00,00,C0,7F
194481000,00000109,false,1,8,00,01,00,FF,FF,FF,0F,3D
194481300,00000200,false,1,8,00,00,00,04,00,D0,D0,00
194481500,00000201,false,1,8,C1,00,00,00,00,00,00,C1
194481800,00000202,false,1,8,60,00,10,00,00,00,00,70
194482000,00000333,false,1,8,00,00,00,00,00,00,00,00
194484300,00000291,false,1,8,00,00,FF,7F,45,00,00,0A
194484600,00000523,false,1,8,02,38,FF,FF,FF,FF,00,01
194484800,00000524,false,1,8,FF,FF,FF,00,00,00,C0,7F
194491000,00000109,false,1,8,00,01,00,FF,FF,FF,0F,0A
194491200,00000200,false,1,8,00,00,00,04,00,10,D0,00
194491500,00000201,false,1,8,01,00,00,00,00,00,00,01
194491700,00000202,false,1,8,00,00,10,00,00,00,00,10
194492000,00000333,false,1,8,00,00,00,00,00,00,00,00
194494300,00000291,false,1,8,00,00,FF,7F,58,00,00,0A
194494600,00000523,false,1,8,02,38,FF,FF,FF,FF,00,01
194494800,00000524,false,1,8,FF,FF,FF,00,00,00,C0,7F
194501000,00000109,false,1,8,00,01,00,FF,FF,FF,0F,1B
194501200,00000200,false,1,8,00,00,00,04,00,50,D0,00
194501500,00000201,false,1,8,41,00,00,00,00,00,00,41
194501700,00000202,false,1,8,20,00,10,00,00,00,00,30
194502000,00000333,false,1,8,00,00,00,00,00,00,00,00
194504300,00000291,false,1,8,00,00,FF,7F,68,00,00,0A
194504600,00000523,false,1,8,02,38,FF,FF,FF,FF,00,01
194504800,00000524,false,1,8,FF,FF,FF,00,00,00,C0,7F
194511000,00000109,false,1,8,00,01,00,FF,FF,FF,0F,2C
194511200,00000200,false,1,8,00,00,00,04,00,90,D0,00
194511500,00000201,false,1,8,81,00,00,00,00,00,00,81
194511700,00000202,false,1,8,40,00,10,00,00,00,00,50
194512000,00000333,false,1,8,00,00,00,00,00,00,00,00
194512500,00000590,false,1,8,11,00,00,00,00,00,00,3C
194512700,0000045B,false,1,8,00,30,00,00,00,00,01,00
194513000,00000549,false,1,8,EF,72,00,00,00,00,00,00
194513200,00000579,false,1,8,7C,7C,00,00,04,08,10,FE
194513500,0000057A,false,1,8,1F,00,00,3E,00,00,00,00
194513700,0000057B,false,1,8,01,01,00,00,00,46,64,A0
194514000,0000058F,false,1,8,00,01,00,00,00,00,00,00
194514200,00000592,false,1,8,00,00,00,00,00,00,00,85
194514400,00000291,false,1,8,00,00,FF,7F,77,00,00,0A
194514700,00000523,false,1,8,03,3A,FF,FF,FF,FF,00,01
194514900,00000524,false,1,8,FF,FF,FF,00,00,00,C0,7F
194515200,000005D9,false,1,8,00,00,00,00,00,00,00,00
194521000,00000109,false,1,8,00,01,00,FF,FF,FF,0F,3D
194521200,00000200,false,1,8,00,00,00,04,00,D0,D0,00
194521500,00000201,false,1,8,C1,00,00,00,00,00,00,C1
194521700,00000202,false,1,8,60,00,10,00,00,00,00,70
194522000,00000333,false,1,8,00,00,00,00,00,00,00,00
194524300,00000291,false,1,8,00,00,FF,7F,6B,00,00,0A
194524500,00000523,false,1,8,03,3A,FF,FF,FF,FF,00,01
194524700,00000524,false,1,8,FF,FF,FF,00,00,00,C0,7F
194526500,000002A1,false,1,8,00,01,00,00,00,16,00,00
194526800,00000540,false,1,8,00,00,00,00,00,00,00,00
194531000,00000109,false,1,8,00,01,00,FF,FF,FF,0F,0A
194531200,00000200,false,1,8,00,00,00,20,00,10,D0,00
194531500,00000201,false,1,8,01,00,00,00,00,00,00,01
194531700,00000202,false,1,8,00,00,10,00,00,00,00,10
194532000,00000333,false,1,8,00,00,00,00,00,00,00,00
194534300,00000291,false,1,8,00,00,FF,7F,61,00,00,0A
194534500,00000523,false,1,8,03,3A,FF,FF,FF,FF,00,01
194534800,00000524,false,1,8,FF,FF,FF,00,00,00,C0,7F
194540900,00000109,false,1,8,00,01,00,FF,FF,FF,0F,1B
194541200,00000200,false,1,8,00,00,00,20,00,50,D0,00
194541400,00000201,false,1,8,41,00,00,00,00,00,00,41
194541700,00000202,false,1,8,20,00,10,00,00,00,00,30
194541900,00000333,false,1,8,00,00,00,00,00,00,00,00
194544300,00000291,false,1,8,00,00,FF,7F,57,00,00,0A
194544500,00000523,false,1,8,03,3A,FF,FF,FF,FF,00,01
194544700,00000524,false,1,8,FF,FF,FF,00,00,00,C0,7F
194546700,000005DC,false,1,8,FF,7F,00,00,4E,00,00,00
194546900,000005DE,false,1,8,6E,02,FF,7A,FF,FF,FF,01
194550900,00000109,false,1,8,00,01,00,FF,FF,FF,0F,2C
194551200,00000200,false,1,8,00,00,00,20,00,90,D0,00
194551400,00000201,false,1,8,81,00,00,00,00,00,00,81
194551700,00000202,false,1,8,40,00,10,00,00,00,00,50
194551900,00000333,false,1,8,00,00,00,00,00,00,00,00
194554200,00000291,false,1,8,00,00,FF,7F,4E,00,00,0A
194554500,00000523,false,1,8,03,3A,FF,FF,FF,FF,00,01
194554800,00000524,false,1,8,FF,FF,FF,00,00,00,C0,7F
194560900,00000109,false,1,8,00,01,00,FF,FF,FF,0F,3D
194561200,00000200,false,1,8,00,00,00,20,00,D0,D0,00
194561400,00000201,false,1,8,C1,00,00,00,00,00,00,C1
194561700,00000202,false,1,8,60,00,10,00,00,00,00,70
194561900,00000333,false,1,8,00,00,00,00,00,00,00,00
194564300,00000291,false,1,8,00,00,FF,7F,46,00,00,0A
194564500,00000523,false,1,8,03,3A,FF,FF,FF,FF,00,01
194564700,00000524,false,1,8,FF,FF,FF,00,00,00,C0,7F
194570900,00000109,false,1,8,00,01,00,FF,FF,FF,0F,0A
194571200,00000200,false,1,8,00,00,00,20,00,10,D0,00
194571400,00000201,false,1,8,01,00,00,00,00,00,00,01
194571700,00000202,false,1,8,00,00,10,00,00,00,00,10
194571900,00000333,false,1,8,00,00,00,00,00,00,00,00
194574200,00000291,false,1,8,00,00,FF,7F,3F,00,00,0A
194574500,00000523,false,1,8,03,3A,FF,FF,FF,FF,00,01
194574700,00000524,false,1,8,FF,FF,FF,00,00,00,C0,7F
194580900,00000109,false,1,8,00,01,00,FF,FF,FF,0F,1B
194581100,00000200,false,1,8,00,00,00,20,00,50,D0,00
194581400,00000201,false,1,8,41,00,00,00,00,00,00,41
194581600,00000202,false,1,8,20,00,10,00,00,00,00,30
194581900,00000333,false,1,8,00,00,00,00,00,00,00,00
194584200,00000291,false,1,8,00,00,FF,7F,39,00,00,0A
194584500,00000523,false,1,8,00,3A,FF,FF,FF,FF,00,01
194584700,00000524,false,1,8,FF,FF,FF,00,00,00,C0,7F
194590900,00000109,false,1,8,00,01,00,FF,FF,FF,0F,2C
194591100,00000200,false,1,8,00,00,00,20,00,90,D0,00
194591400,00000201,false,1,8,81,00,00,00,00,00,00,81
194591600,00000202,false,1,8,40,00,10,00,00,00,00,50
194591900,00000333,false,1,8,00,00,00,00,00,00,00,00
194594200,00000291,false,1,8,00,00,FF,7F,4D,00,00,0A
194594400,00000523,false,1,8,02,3A,FF,FF,FF,FF,00,01
194594700,00000524,false,1,8,FF,FF,FF,00,00,00,C0,7F
194600900,00000109,false,1,8,00,01,00,FF,FF,FF,0F,3D
194601100,00000200,false,1,8,00,00,00,20,00,D0,D0,00
194601400,00000201,false,1,8,C1,00,00,00,00,00,00,C1
194601600,00000202,false,1,8,60,00,10,00,00,00,00,70
194601900,00000333,false,1,8,00,00,00,00,00,00,00,00
194604200,00000291,false,1,8,00,00,FF,7F,5F,00,00,0A
194604500,00000523,false,1,8,02,3A,FF,FF,FF,FF,00,01
194604700,00000524,false,1,8,FF,FF,FF,00,00,00,C0,7F
194610900,00000109,false,1,8,00,01,00,FF,FF,FF,0F,0A
194611100,00000200,false,1,8,00,00,00,20,00,10,D0,00
194611400,00000201,false,1,8,01,00,00,00,00,00,00,01
194611600,00000202,false,1,8,00,00,10,00,00,00,00,10
194611900,00000333,false,1,8,00,00,00,00,00,00,00,00
194612400,00000590,false,1,8,11,00,00,00,00,00,00,3C
194612600,0000045B,false,1,8,00,30,00,00,00,00,01,00
194612900,00000529,false,1,8,00,00,00,00,00,BE,3B,00
194613100,00000549,false,1,8,EF,72,00,00,00,00,00,00
194613300,00000579,false,1,8,7C,7C,00,00,04,08,10,FE
194613600,0000057A,false,1,8,1F,00,00,3E,00,00,00,00
194613800,0000057B,false,1,8,01,01,00,00,00,46,64,A0
194614100,0000058F,false,1,8,00,01,00,00,00,00,00,00
194614300,00000291,false,1,8,00,00,FF,7F,6F,00,00,0A
194614600,00000523,false,1,8,02,3A,FF,FF,FF,FF,00,01
194614800,00000524,false,1,8,FF,FF,FF,00,00,00,C0,7F
194615000,00000592,false,1,8,00,00,00,00,00,00,00,C5
194615300,000005D9,false,1,8,00,00,00,00,00,00,00,00
194620800,00000109,false,1,8,00,01,00,FF,FF,FF,0F,1B
194621100,00000200,false,1,8,00,00,00,20,00,50,D0,00
194621300,00000201,false,1,8,41,00,00,00,00,00,00,41
194621600,00000202,false,1,8,20,00,10,00,00,00,00,30
194621800,00000333,false,1,8,00,00,00,00,00,00,00,00
194624200,00000291,false,1,8,00,00,FF,7F,7D,00,00,0A
194624400,00000523,false,1,8,02,3A,FF,FF,FF,FF,00,01
194624700,00000524,false,1,8,FF,FF,FF,00,00,00,C0,7F
194626400,000002A1,false,1,8,00,02,00,00,00,00,00,00
194630800,00000109,false,1,8,00,01,00,FF,FF,FF,0F,2C
194631100,00000200,false,1,8,00,00,00,20,00,90,D0,00
194631300,00000201,false,1,8,81,00,00,00,00,00,00,81
194631600,00000202,false,1,8,40,00,10,00,00,00,00,50
194631800,00000333,false,1,8,00,00,00,00,00,00,00,00
194634200,00000291,false,1,8,00,00,FF,7F,8A,00,00,0A
194634400,00000523,false,1,8,02,3A,FF,FF,FF,FF,00,01
194634600,00000524,false,1,8,FF,FF,FF,00,00,00,C0,7F
194640800,00000109,false,1,8,00,01,00,FF,FF,FF,0F,3D
194641100,00000200,false,1,8,00,00,00,20,00,D0,D0,00
194641300,00000201,false,1,8,C1,00,00,00,00,00,00,C1
194641600,00000202,false,1,8,60,00,10,00,00,00,00,70
