Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
720670800,000005A0,false,0,8,00,00,00,C0,20,50,96,0D
720670500,00000500,false,1,1,0C
720670800,00000130,false,1,8,00,80,00,80,22,02,00,34
720671000,00000140,false,1,8,00,80,02,44,20,00,00,94
720671300,00000495,false,1,8,00,00,00,00,00,00,00,00
720680600,00000130,false,1,8,00,80,00,80,22,02,01,29
720680900,00000140,false,1,8,00,80,02,44,20,00,01,89
720690600,00000130,false,1,8,00,80,00,80,22,02,02,0E
720690900,00000140,false,1,8,00,80,02,44,20,00,02,AE
720700600,00000130,false,1,8,00,80,00,80,22,02,03,13
720700900,00000140,false,1,8,00,80,02,44,20,00,03,B3
720710600,00000130,false,1,8,00,80,00,80,22,02,04,40
720710800,00000140,false,1,8,00,80,02,44,20,00,04,E0
720720600,00000130,false,1,8,00,80,00,80,22,02,05,5D
720720800,00000140,false,1,8,00,80,02,44,20,00,05,FD
720730600,00000130,false,1,8,00,80,00,80,22,02,06,7A
720730800,00000140,false,1,8,00,80,02,44,20,00,06,DA
720740600,00000130,false,1,8,00,80,00,80,22,02,07,67
720740800,00000140,false,1,8,00,80,02,44,20,00,07,C7
720750600,00000130,false,1,8,00,80,00,80,22,02,08,DC
720750800,00000140,false,1,8,00,80,02,44,20,00,08,7C
720760600,00000130,false,1,8,00,80,00,80,22,02,09,C1
720760800,00000140,false,1,8,00,80,02,44,20,00,09,61
720770400,00000500,false,1,1,0C
720770600,00000130,false,1,8,00,80,00,80,22,02,0A,E6
720770900,00000140,false,1,8,00,80,02,44,20,00,0A,46
720771100,00000495,false,1,8,00,00,0A,0A,82,2D,EE,E4
720780500,00000130,false,1,8,00,80,00,80,22,02,0B,FB
720780800,00000140,false,1,8,00,80,02,44,20,00,0B,5B
721129600,000005A0,false,0,8,00,00,00,C0,20,50,96,0D
721129300,00000500,false,1,1,0C
721129600,00000130,false,1,8,00,80,00,80,22,02,00,34
721129800,00000140,false,1,8,00,80,02,44,20,00,00,94
721130100,00000495,false,1,8,00,00,00,00,00,00,00,00
721139500,00000130,false,1,8,00,80,00,80,22,02,01,29
721139700,00000140,false,1,8,00,80,02,44,20,00,01,89
721149500,00000130,false,1,8,00,80,00,80,22,02,02,0E
721149700,00000140,false,1,8,00,80,02,44,20,00,02,AE
721159500,00000130,false,1,8,00,80,00,80,22,02,03,13
721159700,00000140,false,1,8,00,80,02,44,20,00,03,B3
721169500,00000130,false,1,8,00,80,00,80,22,02,04,40
721169700,00000140,false,1,8,00,80,02,44,20,00,04,E0
721179500,00000130,false,1,8,00,80,00,80,22,02,05,5D
721179700,00000140,false,1,8,00,80,02,44,20,00,05,FD
721189400,00000130,false,1,8,00,80,00,80,22,02,06,7A
721189700,00000140,false,1,8,00,80,02,44,20,00,06,DA
