Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
22213513,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
22214519,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
22214772,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
22218355,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
22218591,00000121,false,Rx,0,8,90,07,33,04,00,00,00,00,
22223265,00000110,false,Rx,0,8,90,07,01,00,00,00,00,00,
22223512,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
22224518,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
22224760,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
22228374,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
22228610,00000121,false,Rx,0,8,8D,07,33,04,00,00,00,00,
22233243,00000110,false,Rx,0,8,90,07,01,00,00,00,00,00,
22233489,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
22234527,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
22234769,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
22238383,00000120,false,Rx,0,8,0B,02,0E,00,DC,0E,22,39,
22238629,00000121,false,Rx,0,8,8E,07,33,04,00,00,00,00,
22243260,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
22243507,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
22244514,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
22244766,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
22248400,00000120,false,Rx,0,8,0B,02,0E,00,DC,0E,22,39,
22248637,00000121,false,Rx,0,8,91,07,33,04,00,00,00,00,
22253268,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
22253515,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
22254511,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
22254763,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
22258408,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
22258655,00000121,false,Rx,0,8,8E,07,33,04,00,00,00,00,
22263266,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
22263513,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
22264519,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
22264772,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
22268427,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
22268665,00000121,false,Rx,0,8,8E,07,33,04,00,00,00,00,
22273254,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
22273501,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
22274517,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
22274769,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
22278435,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
22278673,00000121,false,Rx,0,8,91,07,33,04,00,00,00,00,
22283417,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
22283666,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
22284515,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
22284757,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
22288453,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
22288690,00000121,false,Rx,0,8,8E,07,33,04,00,00,00,00,
22293258,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
22293505,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
22294511,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
22294763,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
22298461,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
22298698,00000121,false,Rx,0,8,8F,07,33,04,00,00,00,00,
22303266,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
22303513,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
22304510,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
22304762,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
22308480,00000120,false,Rx,0,8,0B,02,0E,00,DC,0E,22,39,
22308717,00000121,false,Rx,0,8,92,07,33,04,00,00,00,00,
22313254,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
22313502,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
22314507,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
22314759,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
22318487,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
22318725,00000121,false,Rx,0,8,8F,07,33,04,00,00,00,00,
22323252,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
22323500,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
22324516,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
22324768,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
22328506,00000120,false,Rx,0,8,0B,02,0E,00,DC,0E,22,39,
22328744,00000121,false,Rx,0,8,8F,07,33,04,00,00,00,00,
22333240,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
22333487,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
22334513,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
22334765,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
22338525,00000120,false,Rx,0,8,0B,02,0E,00,DC,0E,22,39,
22338763,00000121,false,Rx,0,8,92,07,33,04,00,00,00,00,
22343259,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
22343507,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
22344512,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
22344754,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
22348533,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
22348771,00000121,false,Rx,0,8,8F,07,33,04,00,00,00,00,
22353256,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
22353504,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
22354520,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
22354772,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
22358552,00000120,false,Rx,0,8,0B,02,0E,00,DC,0E,22,39,
-364210,00000121,false,Rx,0,8,8F,07,33,04,00,00,00,00,
-359735,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-359487,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-358482,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-358240,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-354439,00000120,false,Rx,0,8,0B,02,0E,00,DC,0E,22,39,
-354200,00000121,false,Rx,0,8,92,07,33,04,00,00,00,00,
-349736,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-349489,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-348484,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-348232,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-344421,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
-344182,00000121,false,Rx,0,8,90,07,33,04,00,00,00,00,
-339625,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-339377,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-338485,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-338243,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-334413,00000120,false,Rx,0,8,0B,02,0E,00,DE,0E,22,39,
-334164,00000121,false,Rx,0,8,8E,07,33,04,00,00,00,00,
-329741,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-329493,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-328498,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-328246,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-324394,00000120,false,Rx,0,8,0B,02,0E,00,DC,0E,22,39,
-324155,00000121,false,Rx,0,8,91,07,33,04,00,00,00,00,
-319743,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-319495,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-318490,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-318237,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-314385,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
-314146,00000121,false,Rx,0,8,8F,07,33,04,00,00,00,00,
-309745,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-309497,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-308492,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-308240,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-304366,00000120,false,Rx,0,8,0B,02,0E,00,DC,0E,22,39,
-304128,00000121,false,Rx,0,8,8E,07,33,04,00,00,00,00,
